"from","to"
"Agathobacter","Gemella"
"Dialister","Fusicatenibacter"
"Dialister","Dorea"
"Helicobacter","Staphylococcus"
"Intestinibacter","Terrisporobacter"
"Barnesiella","X.Family..Anaerovoracaceae"
"Prevotella_9","Actinobacillus"
"Prevotella_7","Alloprevotella"
"Prevotella_7","X.Family..Prevotellaceae"
"Fusicatenibacter","Dialister"
"Roseburia","X.Family..Veillonellaceae"
"Lachnoclostridium","Butyricicoccus"
"Deinococcus","Rhodobacter"
"Deinococcus","Cutibacterium"
"Deinococcus","Staphylococcus"
"Deinococcus","Acinetobacter"
"Deinococcus","Listeria"
"X.Eubacterium..siraeum.group","X.Family..Peptostreptococcaceae"
"Rhodobacter","Deinococcus"
"Rhodobacter","Cutibacterium"
"Rhodobacter","Staphylococcus"
"Rhodobacter","Acinetobacter"
"Rhodobacter","Listeria"
"Alloprevotella","Prevotella_7"
"Cutibacterium","Deinococcus"
"Cutibacterium","Rhodobacter"
"Cutibacterium","Staphylococcus"
"Cutibacterium","Acinetobacter"
"Cutibacterium","Listeria"
"Terrisporobacter","Intestinibacter"
"UCG.002","NK4A214.group"
"UCG.002","UCG.005"
"Escherichia.Shigella","Pseudomonas"
"Anaeroplasma","Prevotellaceae.UCG.003"
"Anaeroplasma","Rikenella"
"Anaeroplasma","Sneathia"
"Staphylococcus","Helicobacter"
"Staphylococcus","Deinococcus"
"Staphylococcus","Rhodobacter"
"Staphylococcus","Cutibacterium"
"Staphylococcus","Acinetobacter"
"Staphylococcus","Listeria"
"X.Eubacterium..xylanophilum.group","Lachnospiraceae.FE2018.group"
"Dorea","Dialister"
"Prevotellaceae.NK3B31.group","X.Family..Veillonellaceae"
"NK4A214.group","UCG.002"
"Lachnospira","Capnocytophaga"
"Elusimicrobium","Treponema"
"Elusimicrobium","dgA.11.gut.group"
"Elusimicrobium","CAG.873"
"Elusimicrobium","Rikenellaceae.RC9.gut.group"
"Elusimicrobium","X.Family..Succinivibrionaceae"
"Elusimicrobium","Phoenicibacter"
"Elusimicrobium","Ligilactobacillus"
"Elusimicrobium","Libanicoccus"
"Elusimicrobium","X.Family..Atopobiaceae"
"Flavonifractor","X.Family..P5D1.392"
"X.Order..Gastranaerophilales","Cuneatibacter"
"X.Order..Gastranaerophilales","Actinobacillus"
"Acinetobacter","Deinococcus"
"Acinetobacter","Rhodobacter"
"Acinetobacter","Cutibacterium"
"Acinetobacter","Staphylococcus"
"Acinetobacter","Listeria"
"UCG.005","UCG.002"
"Pseudomonas","Escherichia.Shigella"
"Listeria","Deinococcus"
"Listeria","Rhodobacter"
"Listeria","Cutibacterium"
"Listeria","Staphylococcus"
"Listeria","Acinetobacter"
"X.Family..Lachnospiraceae","X.Order..Chloroplast"
"Treponema","Elusimicrobium"
"Treponema","dgA.11.gut.group"
"Treponema","CAG.873"
"Treponema","Rikenellaceae.RC9.gut.group"
"Treponema","X.Family..Succinivibrionaceae"
"Treponema","Phoenicibacter"
"Treponema","Ligilactobacillus"
"Treponema","Libanicoccus"
"Treponema","X.Family..Atopobiaceae"
"X.Family..Prevotellaceae","Prevotella_7"
"Lachnospiraceae.UCG.010","UCG.003"
"Family.XIII.AD3011.group","X.Family..Christensenellaceae"
"UCG.003","Lachnospiraceae.UCG.010"
"UCG.003","X.Family..Desulfovibrionaceae"
"Butyrivibrio","X.Family..Tannerellaceae"
"Desulfovibrio","X.Family..Puniceicoccaceae"
"UBA1819","GCA.900066755"
"X.Order..Clostridia.vadinBB60.group","X.Family..vadinBE97"
"Butyricicoccus","Lachnoclostridium"
"Eggerthella","Sellimonas"
"X.Order..Oscillospirales","Anaerosporobacter"
"X.Order..Izemoplasmatales","Christensenella"
"Haemophilus","Comamonas"
"dgA.11.gut.group","Elusimicrobium"
"dgA.11.gut.group","Treponema"
"dgA.11.gut.group","CAG.873"
"dgA.11.gut.group","Rikenellaceae.RC9.gut.group"
"dgA.11.gut.group","X.Family..Succinivibrionaceae"
"dgA.11.gut.group","Phoenicibacter"
"dgA.11.gut.group","Ligilactobacillus"
"dgA.11.gut.group","Libanicoccus"
"dgA.11.gut.group","X.Family..Atopobiaceae"
"Asteroleplasma","Mitsuokella"
"Eisenbergiella","Siccibacter"
"CAG.873","Elusimicrobium"
"CAG.873","Treponema"
"CAG.873","dgA.11.gut.group"
